pH,Elevation,SlopeDeg,TWI,ValleyDepth,ChannelNetworkBaseLevel,TRI,ATR,PWQ,Precipitation,Temperature
6,363,4.583664,7.38,11.45,361.44,6.34,38.07,292,1046,6.89
6,415,1.718874,8.24,5.27,414,3.04,38.07,292,1046,6.89
6,547,2.291832,7.84,4,546.48,2.12,40.97,334,1160,4.4
6,522,2.86479,8.24,6.13,529,8.06,40.67,329,1147,4.46
6,190,9.740286,6.75,11.29,180.72,10.97,39.32,296,1077,6.87
6,298,1.145916,8.48,0.7,293.2,2.12,39.47,302,1107,6.82
7,206,12.605076,7.11,21.78,206,11.63,36.62,290,1083,7.36
7,228,2.291832,8.37,0.25,224.76,3.27,36.62,290,1083,7.36
7,272,0.572958,9.76,0.23,271.77,0.82,36.62,290,1083,7.36
6,275,2.291832,8.53,3.99,273.48,2.55,36.62,290,1083,7.36
5,522,9.740286,6.16,2.94,499.95,9.63,37.8,299,1070,6.54
6,504,3.437748,7.55,5.17,501.5,5.22,37.8,299,1070,6.54
6,493,5.72958,6.62,5,485.27,5.45,37.8,299,1070,6.54
6,502,5.156622,6.76,0.86,496.68,5.5,37.8,299,1070,6.54
6,265,8.59437,6.76,12.88,257.66,9.29,37.55,282,1008,7.2
6,223,17.761698,6.21,39.06,223,17.37,37.55,282,1008,7.2
6,232,4.583664,7.56,6.69,224.24,4.9,37.55,282,1008,7.2
5,260,4.583664,7.21,52,247.71,5.57,37.55,282,1008,7.2
6,547,2.86479,7.56,2.23,541.66,3.08,35.98,286,1042,6.92
6,519,6.875496,7.2,7.67,516.99,6.65,35.63,285,1039,7.18
7,525,0.572958,9.78,0,523.84,1.29,35.98,286,1042,6.92
6,532,6.875496,6.51,1.72,521.52,7.97,35.98,286,1042,6.92
6,145,1.145916,8.34,1.43,143.34,1.29,36.34,263,917,8.78
6,147,1.145916,8.19,0,145.17,1.5,36.34,263,917,8.78
7,143,2.291832,7.7,0.77,137.17,2.55,36.34,263,917,8.78
7,146,1.718874,7.85,0,142.31,2.29,36.34,263,917,8.78
6,220,2.291832,7.48,0,215.66,4.24,36.42,281,1036,8.08
6,199,13.750992,6.56,31,188.39,15.85,36.42,281,1036,8.08
6,204,6.302538,7.15,6.76,193.58,7.7,36.42,281,1036,8.08
6,229,3.437748,7.46,4,224.65,4.34,36.42,281,1036,8.08
6,136,1.145916,8.17,2,132.36,3.39,37.26,281,1021,8.71
6,138,4.010706,7.19,1.41,133.37,4.18,37.02,289,1067,7.88
7,131,0.572958,11.34,0.81,132,1.61,37.26,281,1021,8.71
7,159,3.437748,7.91,10,157,5.12,36.85,284,1045,8.18
7,77,3.437748,7.57,18.14,74.04,3.91,35.05,284,998,8.49
7,82,5.72958,6.82,2.81,73,5.72,35.05,284,998,8.49
7,99,2.291832,7.6,0,94.88,2.12,35.05,284,998,8.49
7,99,1.145916,8.11,0,92.27,2.9,35.85,256,1002,8.39
6,278,10.886202,6.7,30.44,277.67,9.07,36.09,284,1014,7.33
6,301,10.886202,6.71,23.87,288.26,10.87,36.09,284,1014,7.33
6,272,15.469866,5.8,21.47,264.77,15.15,36.09,284,1014,7.33
6,361,3.437748,7.19,2.43,348.21,4.84,36.09,284,1014,7.33
6,204,2.291832,7.78,14.78,199.83,2.74,36.85,284,1045,8.18
6,223,5.72958,6.62,0,215.65,5.43,36.85,284,1045,8.18
6,209,1.145916,9.15,2.58,209,1.12,36.85,284,1045,8.18
7,205,2.291832,8.15,2.84,202.87,2.55,36.85,284,1045,8.18
7,180,0.572958,9.84,1.55,180,1.22,35.83,259,870,8.79
7,168,0.572958,9.78,0.23,167.77,0.82,35.83,259,870,8.79
7,162,0,11.14,0,162,0,35.83,259,870,8.79
7,147,2.291832,8.53,2.16,147,3.51,35.83,259,870,8.79
6,121,6.875496,7.72,18.55,119.8,10.08,35.76,267,896,8.53
7,120,2.86479,8.06,6,118.08,3.5,35.76,267,896,8.53
7,171,13.750992,6.82,22.35,164.84,12.84,35.76,267,896,8.53
7,168,14.32395,5.82,15.18,141.82,16.47,35.76,267,896,8.53
